CustomerID,Gender,Married,Age,Graduated,Profession,WorkExperience,SpendingScore,FamilySize,Segmentation
462119,Male,Yes,71,Yes,Entertainment,0,Low,2,A
465132,Female,No,41,Yes,Artist,0,Low,1,A
466039,Female,No,29,No,Entertainment,0,Low,,A
467633,Male,Yes,49,No,Entertainment,0,Low,1,A
465992,Male,Yes,53,Yes,Entertainment,1,Low,3,A
463128,Male,Yes,73,Yes,Lawyer,0,High,4,A
460775,Male,Yes,59,Yes,Artist,0,Low,2,A
464069,Female,Yes,83,Yes,Lawyer,1,High,2,A
462887,Female,Yes,42,No,Engineer,1,Low,3,A
466037,Female,No,53,No,Entertainment,1,Low,1,A
467707,Male,Yes,82,Yes,Lawyer,5,High,2,A
465158,Male,No,45,Yes,Artist,1,Low,1,A
463325,Male,Yes,22,No,Doctor,1,Low,4,A
465585,Male,Yes,69,No,Doctor,1,Low,1,A
462671,Female,Yes,43,Yes,Homemaker,8,High,2,A
459603,Female,Yes,89,No,Lawyer,3,High,2,A
465681,Male,Yes,45,Yes,Entertainment,0,Average,2,A
460417,Female,Yes,51,Yes,Marketing,9,Low,1,A
463628,Female,No,30,Yes,Artist,9,Low,1,A
459529,Female,Yes,89,No,Lawyer,1,High,2,A
464916,Female,"",31,"",Doctor,9,High,2,A
465920,Male,No,43,Yes,Executive,1,Low,4,A
463262,Female,Yes,70,No,Lawyer,3,High,2,A
465631,Male,No,35,Yes,Artist,9,Low,1,A
461703,Female,Yes,29,Yes,Healthcare,0,Low,2,A
460667,Female,No,38,No,Homemaker,8,Low,,A
466097,Female,Yes,74,No,Lawyer,1,Low,1,A
460390,Male,No,36,Yes,Artist,9,Low,3,A
466406,Male,Yes,55,Yes,Entertainment,1,Low,3,A
459492,Female,Yes,72,Yes,Lawyer,1,High,2,A
459691,Male,Yes,55,No,Artist,0,Average,2,A
465821,Female,No,28,No,Engineer,3,Low,7,A
466543,Male,No,31,Yes,Doctor,14,Low,2,A
465881,Male,No,43,Yes,Artist,8,Low,,A
462777,Male,"",58,No,Executive,0,High,3,A
460787,Male,No,29,Yes,Healthcare,0,Low,4,A
465591,Male,Yes,65,No,Artist,0,Average,2,A
460812,Male,Yes,59,No,Entertainment,1,Low,2,A
466661,Male,No,27,"",Doctor,0,Low,,A
460835,Female,Yes,28,Yes,Artist,0,Low,1,A
467232,Male,No,33,No,Entertainment,0,Low,2,A
466855,Male,Yes,69,No,Entertainment,0,Low,5,A
463226,Female,Yes,38,Yes,Executive,0,Average,2,A
461232,Female,Yes,36,Yes,Executive,0,High,,A
467924,Male,Yes,52,Yes,Artist,0,Low,3,A
461702,Female,Yes,53,Yes,Engineer,8,High,4,A
464312,Male,No,43,Yes,Artist,1,Low,1,A
464322,Male,Yes,79,Yes,Lawyer,0,Low,2,A
462058,Male,Yes,42,Yes,Entertainment,9,Low,2,A
459368,Male,Yes,28,No,Executive,0,Low,7,A
461606,Male,Yes,69,Yes,Lawyer,0,High,3,A
466014,Female,Yes,47,No,Engineer,0,High,2,A
464909,Female,Yes,38,Yes,Homemaker,0,Low,2,A
462429,Male,Yes,76,No,Lawyer,0,Low,1,A
464497,Female,No,39,No,Engineer,0,Low,3,A
467150,Female,No,41,Yes,Artist,8,Low,3,A
467448,Female,Yes,49,No,Engineer,0,Low,1,A
462072,Male,No,39,Yes,Artist,0,Low,1,A
463211,Male,Yes,68,Yes,Lawyer,8,Low,1,A
464059,Male,Yes,57,Yes,Artist,1,Low,1,A
463746,Male,No,38,Yes,Artist,0,Low,1,A
459159,Male,Yes,80,Yes,Lawyer,1,Low,1,A
465980,Female,No,31,Yes,Healthcare,1,Low,7,A
467713,Female,Yes,38,No,Executive,0,Average,4,A
460607,Male,Yes,36,Yes,Artist,9,Average,4,A
458991,Female,Yes,84,Yes,Lawyer,3,High,2,A
464281,Female,No,39,Yes,Artist,0,Low,1,A
460949,Male,Yes,40,Yes,Doctor,1,Low,5,A
465968,Female,No,35,Yes,Artist,10,Low,1,A
466969,Female,No,43,Yes,Homemaker,9,Low,1,A
464134,Female,No,43,Yes,Entertainment,0,Low,6,A
460418,Female,No,35,Yes,Entertainment,9,Low,2,A
466910,Male,Yes,59,Yes,Entertainment,9,Low,1,A
463085,Female,No,35,Yes,Artist,0,Low,1,A
464539,Male,Yes,42,No,Executive,3,High,3,A
461812,Male,Yes,30,No,Artist,9,High,6,A
